tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	method_codes	result_quality	result_type	sample	site
232.3	0.0	0	90.0	This study	-36	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED23-2	NED23
247.9	0.0	0	90.0	This study	-34	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED23-3	NED23
237.8	0.0	0	90.0	This study	-39	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED23-4	NED23
229.8	0.0	0	90.0	This study	-35	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED23-5	NED23
235.8	0.0	0	90.0	This study	-33	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED23-6	NED23
233.3	0.0	0	90.0	This study	-29	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED23-8	NED23
276.9	0.0	0	90.9	This study	-88	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED8-1	NED8
284.9	0.0	0	90.9	This study	-88	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED8-2	NED8
283.9	0.0	0	90.9	This study	-91	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED8-3	NED8
284.9	0.0	0	90.9	This study	-79	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED8-4	NED8
280.9	0.0	0	90.9	This study	-80	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED8-5	NED8
289.9	0.0	0	90.9	This study	-85	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED8-6	NED8
294.9	0.0	0	90.9	This study	-65	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED8-7	NED8
290.9	0.0	0	90.9	This study	-66	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED8-8	NED8
275.4	0.0	0	90.0	This study	-5	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED24-1	NED24
295.6	0.0	0	90.0	This study	-3	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED24-3	NED24
267.5	0.0	0	90.9	This study	-24	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED12-1	NED12
48.1	0.0	0	90.9	This study	-40	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED12-2	NED12
68.1	0.0	0	90.9	This study	-40	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED12-3	NED12
45.1	0.0	0	90.9	This study	-36	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED12-4	NED12
278.1	0.0	0	90.9	This study	-14	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED12-5	NED12
278.1	0.0	0	90.9	This study	-15	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED12-6	NED12
263.6	0.0	0	90.9	This study	-19	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED12-7	NED12
271.0	0.0	0	90.9	This study	-21	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED12-8	NED12
172.9	0.0	0	90.9	This study	-22	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-1	NED15
186.9	0.0	0	90.9	This study	-14	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-2	NED15
201.9	0.0	0	90.9	This study	-14	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-3	NED15
196.9	0.0	0	90.9	This study	-15	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-4	NED15
190.9	0.0	0	90.9	This study	-11	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-5	NED15
78.9	0.0	0	90.9	This study	-26	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-6	NED15
71.9	0.0	0	90.9	This study	-30	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-7	NED15
72.9	0.0	0	90.9	This study	-31	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-8	NED15
114.9	0.0	0	90.9	This study	-12	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED15-9	NED15
65.8	0.0	0	90.0	This study	-12	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED25-1	NED25
64.8	0.0	0	90.0	This study	-14	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED25-2	NED25
129.5	0.0	0	90.0	This study	-8	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED25-3	NED25
204.8	0.0	0	90.0	This study	-1	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED25-4	NED25
132.8	0.0	0	90.0	This study	-3	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED25-5	NED25
128.0	0.0	0	90.0	This study	-8	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED25-6	NED25
162.8	0.0	0	90.0	This study	-9	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED25-7	NED25
152.8	0.0	0	90.0	This study	-12	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED25-8	NED25
282.8	0.0	0	90.0	This study	-78	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED22-3	NED22
292.8	0.0	0	90.0	This study	-54	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED22-4	NED22
290.8	0.0	0	90.0	This study	-72	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED22-5	NED22
356.8	0.0	0	90.0	This study	-32	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED22-6	NED22
338.9	0.0	0	90.9	This study	-56	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED9-1	NED9
348.9	0.0	0	90.9	This study	-43	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED9-2	NED9
344.9	0.0	0	90.9	This study	-52	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED9-3	NED9
342.9	0.0	0	90.9	This study	-47	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED9-4	NED9
24.9	0.0	0	90.9	This study	-49	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED9-5	NED9
23.9	0.0	0	90.9	This study	-61	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED9-6	NED9
75.9	0.0	0	90.9	This study	-50	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED9-7	NED9
75.9	0.0	0	90.9	This study	-44	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED9-8	NED9
243.6	0.0	0	90.0	This study	-7	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-1	NED30
231.8	0.0	0	90.0	This study	-10	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-2	NED30
253.8	0.0	0	90.0	This study	-7	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-3	NED30
278.8	0.0	0	90.0	This study	-6	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-4	NED30
267.8	0.0	0	90.0	This study	-10	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-5	NED30
255.8	0.0	0	90.0	This study	-9	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-6	NED30
285.8	0.0	0	90.0	This study	-7	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-7	NED30
227.8	0.0	0	90.0	This study	-11	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-8	NED30
241.8	0.0	0	90.0	This study	-7	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED30-9	NED30
341.9	0.0	0	90.9	This study	-39	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-1	NED14
324.9	0.0	0	90.9	This study	-50	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-2	NED14
325.9	0.0	0	90.9	This study	-6	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-3	NED14
273.9	0.0	0	90.9	This study	-4	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-4	NED14
319.9	0.0	0	90.9	This study	-32	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-5	NED14
292.9	0.0	0	90.9	This study	-14	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-6	NED14
336.9	0.0	0	90.9	This study	-47	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-7	NED14
342.9	0.0	0	90.9	This study	-50	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-8	NED14
327.9	0.0	0	90.9	This study	-54	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED14-9	NED14
338.9	0.0	0	90.9	This study	-12	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED13-1	NED13
329.9	0.0	0	90.9	This study	-14	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED13-2	NED13
275.9	0.0	0	90.9	This study	-39	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED13-3	NED13
312.9	0.0	0	90.9	This study	-19	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED13-4	NED13
312.9	0.0	0	90.9	This study	-17	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED13-5	NED13
286.9	0.0	0	90.9	This study	-11	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED13-6	NED13
274.9	0.0	0	90.9	This study	-13	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED13-7	NED13
279.1	0.0	0	90.9	This study	-16	Intrusive	Diabase	0	SO-CMD-NORTH	g	i	NED13-8	NED13
