tab	specimens
aniso_f	aniso_l	aniso_p	aniso_s	aniso_s_n_measurements	aniso_t	aniso_type	azimuth	citations	contribution_id	critical_temp	critical_temp_high	critical_temp_low	critical_temp_mineral	critical_temp_type	description	dip	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_loop	hyst_mr_mass	hyst_ms_mass	hyst_xhf	igsn	igsn_parent	instrument_codes	int_corr	meas_orient_phi	meas_orient_theta	meas_step_max	meas_step_min	meas_step_unit	meas_temp	method_codes	mineral_type	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	result_quality	row_id	sample	software_packages	specimen	synthetic_alternatives	volume	weight
								This study																																			LP-NOMAG								NED17-2		NED17-2b			
								This study									lt	25.9	145.2	0.9	5.4	2.0	3.0	-1.0	NED17-3a_LP-DIR-T										hargrave 2019-01-18 13:21:09	u			623.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3a			
								This study									mt	1.8	175.6	-3.7	3.4	2.0	7.0	-1.0	NED17-3a_LP-DIR-T										hargrave 2019-01-18 13:21:09	u			823.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3a			
								This study									lt	25.9	277.8	54.0	5.4	2.0	3.0	0.0	NED17-3a_LP-DIR-T										hargrave 2019-01-18 13:21:09	u			623.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3a			
								This study									mt	1.8	337.1	74.6	3.4	2.0	7.0	0.0	NED17-3a_LP-DIR-T										hargrave 2019-01-18 13:21:09	u			823.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3a			
								This study																																			LP-NOMAG								NED17-3		NED17-3a			
								This study									lc	0.2	166.2	-3.8	1.9	3.0	4.0	-1.0	NED17-3b_LP-DIR-AF										hargrave 2018-10-06 21:00:48	u			0.0125	0.005	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3b			
								This study									llc	18.1	180.1	10.0	3.1	3.0	5.0	-1.0	NED17-3b_LP-DIR-AF										hargrave 2018-10-06 21:00:48	u			0.005	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3b			
								This study									mc	17.2	171.2	-6.1	4.3	3.0	5.0	-1.0	NED17-3b_LP-DIR-AF										hargrave 2018-10-06 21:00:48	u			0.025	0.015	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3b			
								This study									mc	17.2	326.2	70.8	4.3	3.0	5.0	0.0	NED17-3b_LP-DIR-AF										hargrave 2018-10-06 21:00:48	u			0.025	0.015	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3b			
								This study									llc	18.1	1.2	89.0	3.1	3.0	5.0	0.0	NED17-3b_LP-DIR-AF										hargrave 2018-10-06 21:00:48	u			0.005	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3b			
								This study									lc	0.2	310.5	69.8	1.9	3.0	4.0	0.0	NED17-3b_LP-DIR-AF										hargrave 2018-10-06 21:00:48	u			0.0125	0.005	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-3	pmagpy-4.2.25: demag_gui	NED17-3b			
								This study																																			LP-NOMAG								NED17-3		NED17-3b			
								This study									mt	1.3	184.8	-10.0	2.4	2.0	9.0	-1.0	NED17-4a_LP-DIR-T										hargrave 2019-01-18 13:22:37	u			833.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4a			
								This study									lt	41.8	135.5	-6.2	12.6	2.0	4.0	-1.0	NED17-4a_LP-DIR-T										hargrave 2019-01-18 13:22:37	u			623.0	473.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4a			
								This study									mt	1.3	355.7	68.5	2.4	2.0	9.0	0.0	NED17-4a_LP-DIR-T										hargrave 2019-01-18 13:22:37	u			833.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4a			
								This study									lt	41.8	272.0	42.5	12.6	2.0	4.0	0.0	NED17-4a_LP-DIR-T										hargrave 2019-01-18 13:22:37	u			623.0	473.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4a			
								This study																																			LP-NOMAG								NED17-4		NED17-4a			
								This study									mc	25.7	184.4	-10.3	3.4	3.0	5.0	-1.0	NED17-4b_LP-DIR-AF										hargrave 2018-10-06 21:44:11	u			0.025	0.015	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4b			
								This study									llc	12.1	177.6	2.0	4.4	3.0	5.0	-1.0	NED17-4b_LP-DIR-AF										hargrave 2018-10-06 21:44:11	u			0.005	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4b			
								This study									hc	32.5	122.2	-46.6	34.9	3.0	10.0	-1.0	NED17-4b_LP-DIR-AF										hargrave 2018-10-06 21:44:11	u			0.12	0.055	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4b			
								This study									mc	25.7	354.6	68.3	3.4	3.0	5.0	0.0	NED17-4b_LP-DIR-AF										hargrave 2018-10-06 21:44:11	u			0.025	0.015	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4b			
								This study									llc	12.1	328.0	80.6	4.4	3.0	5.0	0.0	NED17-4b_LP-DIR-AF										hargrave 2018-10-06 21:44:11	u			0.005	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4b			
								This study									hc	32.5	306.3	12.7	34.9	3.0	10.0	0.0	NED17-4b_LP-DIR-AF										hargrave 2018-10-06 21:44:11	u			0.12	0.055	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-4	pmagpy-4.2.25: demag_gui	NED17-4b			
								This study																																			LP-NOMAG								NED17-4		NED17-4b			
								This study									mt	1.5	191.0	-2.9	3.4	2.0	8.0	-1.0	NED17-5a_LP-DIR-T										hargrave 2019-01-18 13:24:07	u			833.0	788.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-5	pmagpy-4.2.25: demag_gui	NED17-5a			
								This study									lt	32.2	152.3	-9.0	17.6	2.0	8.0	-1.0	NED17-5a_LP-DIR-T										hargrave 2019-01-18 13:24:07	u			748.0	473.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-5	pmagpy-4.2.25: demag_gui	NED17-5a			
								This study									lt	32.2	268.0	55.4	17.6	2.0	8.0	0.0	NED17-5a_LP-DIR-T										hargrave 2019-01-18 13:24:07	u			748.0	473.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-5	pmagpy-4.2.25: demag_gui	NED17-5a			
								This study									mt	1.5	359.0	71.5	3.4	2.0	8.0	0.0	NED17-5a_LP-DIR-T										hargrave 2019-01-18 13:24:07	u			833.0	788.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-5	pmagpy-4.2.25: demag_gui	NED17-5a			
								This study																																			LP-NOMAG								NED17-5		NED17-5a			
								This study									mc	7.0	196.7	-3.5	0.9	2.0	5.0	-1.0	NED17-5b_LP-DIR-AF										hargrave 2018-10-06 22:26:48	u			0.025	0.015	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-5	pmagpy-4.2.25: demag_gui	NED17-5b			
								This study									llc	22.4	198.3	13.2	5.4	2.0	3.0	-1.0	NED17-5b_LP-DIR-AF										hargrave 2018-10-06 22:26:48	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-5	pmagpy-4.2.25: demag_gui	NED17-5b			
								This study									llc	22.4	57.7	72.1	5.4	2.0	3.0	0.0	NED17-5b_LP-DIR-AF										hargrave 2018-10-06 22:26:48	u			0.003	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-5	pmagpy-4.2.25: demag_gui	NED17-5b			
								This study									mc	7.0	9.9	67.3	0.9	2.0	5.0	0.0	NED17-5b_LP-DIR-AF										hargrave 2018-10-06 22:26:48	u			0.025	0.015	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-5	pmagpy-4.2.25: demag_gui	NED17-5b			
								This study																																			LP-NOMAG								NED17-5		NED17-5b			
								This study									lt	28.1	158.7	-17.1	7.4	2.0	7.0	-1.0	NED17-6a_LP-DIR-T										hargrave 2019-01-18 13:25:52	u			723.0	473.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6a			
								This study									mt	1.6	192.5	-8.2	1.8	2.0	8.0	-1.0	NED17-6a_LP-DIR-T										hargrave 2019-01-18 13:25:52	u			833.0	788.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6a			
								This study									lt	28.1	281.0	57.2	7.4	2.0	7.0	0.0	NED17-6a_LP-DIR-T										hargrave 2019-01-18 13:25:52	u			723.0	473.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6a			
								This study									mt	1.6	358.7	69.6	1.8	2.0	8.0	0.0	NED17-6a_LP-DIR-T										hargrave 2019-01-18 13:25:52	u			833.0	788.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6a			
								This study																																			LP-NOMAG								NED17-6		NED17-6a			
								This study									mc	8.5	194.6	-6.3	1.9	3.0	4.0	-1.0	NED17-6b_LP-DIR-AF										hargrave 2018-10-06 23:11:01	u			0.02	0.0125	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6b			
								This study									llc	16.9	191.6	5.4	3.0	3.0	3.0	-1.0	NED17-6b_LP-DIR-AF										hargrave 2018-10-06 23:11:01	u			0.002	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6b			
								This study									hc	54.0	169.1	-23.9	28.8	3.0	15.0	-1.0	NED17-6b_LP-DIR-AF										hargrave 2018-10-06 23:11:01	u			0.13	0.035	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6b			
								This study									hc	54.0	302.7	56.4	28.8	3.0	15.0	0.0	NED17-6b_LP-DIR-AF										hargrave 2018-10-06 23:11:01	u			0.13	0.035	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6b			
								This study									mc	8.5	6.8	69.6	1.9	3.0	4.0	0.0	NED17-6b_LP-DIR-AF										hargrave 2018-10-06 23:11:01	u			0.02	0.0125	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6b			
								This study									llc	16.9	38.7	78.2	3.0	3.0	3.0	0.0	NED17-6b_LP-DIR-AF										hargrave 2018-10-06 23:11:01	u			0.002	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-6	pmagpy-4.2.25: demag_gui	NED17-6b			
								This study																																			LP-NOMAG								NED17-6		NED17-6b			
								This study									lt	53.8	112.7	26.1	8.5	2.0	7.0	-1.0	NED17-7a_LP-DIR-T										hargrave 2019-01-18 13:59:28	u			748.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7a			
								This study									mt	2.6	178.7	6.0	1.7	2.0	7.0	-1.0	NED17-7a_LP-DIR-T										hargrave 2019-01-18 13:59:28	u			833.0	803.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7a			
								This study									mt	2.6	18.6	67.0	1.7	2.0	7.0	0.0	NED17-7a_LP-DIR-T										hargrave 2019-01-18 13:59:28	u			833.0	803.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7a			
								This study									lt	53.8	277.2	31.1	8.5	2.0	7.0	0.0	NED17-7a_LP-DIR-T										hargrave 2019-01-18 13:59:28	u			748.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7a			
								This study																																			LP-NOMAG								NED17-7		NED17-7a			
								This study									hc	34.6	131.9	-5.2	31.9	4.0	8.0	-1.0	NED17-7b_LP-DIR-AF										hargrave 2018-10-06 23:53:22	u			0.13	0.07	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7b			
								This study									llc	17.4	176.0	18.9	5.4	4.0	4.0	-1.0	NED17-7b_LP-DIR-AF										hargrave 2018-10-06 23:53:22	u			0.003	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7b			
								This study									mc	6.3	171.7	10.5	0.9	4.0	3.0	-1.0	NED17-7b_LP-DIR-AF										hargrave 2018-10-06 23:53:22	u			0.045	0.035	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7b			
								This study									lc	30.9	129.0	22.3	1.2	4.0	3.0	-1.0	NED17-7b_LP-DIR-AF										hargrave 2018-10-06 23:53:22	u			0.015	0.01	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7b			
								This study									hc	34.6	320.3	32.5	31.9	4.0	8.0	0.0	NED17-7b_LP-DIR-AF										hargrave 2018-10-06 23:53:22	u			0.13	0.07	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7b			
								This study									lc	30.9	288.0	43.9	1.2	4.0	3.0	0.0	NED17-7b_LP-DIR-AF										hargrave 2018-10-06 23:53:22	u			0.015	0.01	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7b			
								This study									mc	6.3	357.4	69.9	0.9	4.0	3.0	0.0	NED17-7b_LP-DIR-AF										hargrave 2018-10-06 23:53:22	u			0.045	0.035	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7b			
								This study									llc	17.4	1.3	79.3	5.4	4.0	4.0	0.0	NED17-7b_LP-DIR-AF										hargrave 2018-10-06 23:53:22	u			0.003	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-7	pmagpy-4.2.25: demag_gui	NED17-7b			
								This study																																			LP-NOMAG								NED17-7		NED17-7b			
								This study									mt	1.1	169.2	27.7	2.0	2.0	6.0	-1.0	NED17-8a_LP-DIR-T										hargrave 2019-01-18 14:00:58	u			823.0	788.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8a			
								This study									lt	44.5	98.2	46.6	7.1	2.0	4.0	-1.0	NED17-8a_LP-DIR-T										hargrave 2019-01-18 14:00:58	u			673.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8a			
								This study									mt	1.1	12.6	66.3	2.0	2.0	6.0	0.0	NED17-8a_LP-DIR-T										hargrave 2019-01-18 14:00:58	u			823.0	788.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8a			
								This study									lt	44.5	277.0	38.3	7.1	2.0	4.0	0.0	NED17-8a_LP-DIR-T										hargrave 2019-01-18 14:00:58	u			673.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8a			
								This study																																			LP-NOMAG								NED17-8		NED17-8a			
								This study									lc	30.1	115.2	43.4	2.6	4.0	3.0	-1.0	NED17-8b_LP-DIR-AF										hargrave 2018-10-07 00:36:40	u			0.015	0.01	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8b			
								This study									mc	5.5	163.4	29.8	1.6	4.0	4.0	-1.0	NED17-8b_LP-DIR-AF										hargrave 2018-10-07 00:36:40	u			0.045	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8b			
								This study									hc	30.3	127.5	30.0	27.7	4.0	7.0	-1.0	NED17-8b_LP-DIR-AF										hargrave 2018-10-07 00:36:40	u			0.13	0.075	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8b			
								This study									llc	13.5	166.1	42.8	3.4	4.0	3.0	-1.0	NED17-8b_LP-DIR-AF										hargrave 2018-10-07 00:36:40	u			0.004	0.002	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8b			
								This study									hc	30.3	313.7	46.2	27.7	4.0	7.0	0.0	NED17-8b_LP-DIR-AF										hargrave 2018-10-07 00:36:40	u			0.13	0.075	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8b			
								This study									llc	13.5	338.5	78.1	3.4	4.0	3.0	0.0	NED17-8b_LP-DIR-AF										hargrave 2018-10-07 00:36:40	u			0.004	0.002	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8b			
								This study									mc	5.5	358.8	66.2	1.6	4.0	4.0	0.0	NED17-8b_LP-DIR-AF										hargrave 2018-10-07 00:36:40	u			0.045	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8b			
								This study									lc	30.1	289.6	46.5	2.6	4.0	3.0	0.0	NED17-8b_LP-DIR-AF										hargrave 2018-10-07 00:36:40	u			0.015	0.01	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-8	pmagpy-4.2.25: demag_gui	NED17-8b			
								This study																																			LP-NOMAG								NED17-8		NED17-8b			
								This study									mt	0.4	194.4	17.3	1.2	2.0	9.0	-1.0	NED17-9a_LP-DIR-T										hargrave 2019-01-18 14:02:30	u			833.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-9	pmagpy-4.2.25: demag_gui	NED17-9a			
								This study									lt	58.1	131.6	6.7	9.3	2.0	7.0	-1.0	NED17-9a_LP-DIR-T										hargrave 2019-01-18 14:02:30	u			748.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR						g		NED17-9	pmagpy-4.2.25: demag_gui	NED17-9a			
								This study									mt	0.4	143.2	71.2	1.2	2.0	9.0	0.0	NED17-9a_LP-DIR-T										hargrave 2019-01-18 14:02:30	u			833.0	773.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-9	pmagpy-4.2.25: demag_gui	NED17-9a			
								This study									lt	58.1	276.3	41.8	9.3	2.0	7.0	0.0	NED17-9a_LP-DIR-T										hargrave 2019-01-18 14:02:30	u			748.0	523.0	K		LP-DIR-T:DE-BFL:DA-DIR-GEO						g		NED17-9	pmagpy-4.2.25: demag_gui	NED17-9a			
								This study																																			LP-NOMAG								NED17-9		NED17-9a			
								This study									mc	3.6	188.4	15.1	0.4	2.0	4.0	-1.0	NED17-9b_LP-DIR-AF										hargrave 2018-10-07 01:22:21	u			0.05	0.035	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-9	pmagpy-4.2.25: demag_gui	NED17-9b			
								This study									lc	29.1	152.7	10.2	2.4	2.0	4.0	-1.0	NED17-9b_LP-DIR-AF										hargrave 2018-10-07 01:22:21	u			0.015	0.0075	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED17-9	pmagpy-4.2.25: demag_gui	NED17-9b			
								This study									lc	29.1	268.5	62.5	2.4	2.0	4.0	0.0	NED17-9b_LP-DIR-AF										hargrave 2018-10-07 01:22:21	u			0.015	0.0075	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-9	pmagpy-4.2.25: demag_gui	NED17-9b			
								This study									mc	3.6	152.4	77.0	0.4	2.0	4.0	0.0	NED17-9b_LP-DIR-AF										hargrave 2018-10-07 01:22:21	u			0.05	0.035	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED17-9	pmagpy-4.2.25: demag_gui	NED17-9b			
								This study																																			LP-NOMAG								NED17-9		NED17-9b			
								This study									lc	13.4	250.5	80.5	1.0	2.0	6.0	-1.0	NED18-1b_LP-DIR-AF										hargrave 2018-10-07 03:33:25	u			0.005	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-1	pmagpy-4.2.25: demag_gui	NED18-1b			
								This study									mc	9.7	164.6	71.5	0.8	2.0	6.0	-1.0	NED18-1b_LP-DIR-AF										hargrave 2018-10-07 03:33:25	u			0.035	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-1	pmagpy-4.2.25: demag_gui	NED18-1b			
								This study									mc	9.7	96.1	83.1	0.8	2.0	6.0	0.0	NED18-1b_LP-DIR-AF										hargrave 2018-10-07 03:33:25	u			0.035	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-1	pmagpy-4.2.25: demag_gui	NED18-1b			
								This study									lc	13.4	278.0	76.7	1.0	2.0	6.0	0.0	NED18-1b_LP-DIR-AF										hargrave 2018-10-07 03:33:25	u			0.005	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-1	pmagpy-4.2.25: demag_gui	NED18-1b			
								This study																																			LP-NOMAG								NED18-1		NED18-1b			
								This study									lc	25.7	279.7	61.0	2.5	2.0	6.0	-1.0	NED18-2b_LP-DIR-AF										hargrave 2018-10-07 04:16:16	u			0.005	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-2	pmagpy-4.2.25: demag_gui	NED18-2b			
								This study									mc	0.8	169.0	67.9	1.0	2.0	8.0	-1.0	NED18-2b_LP-DIR-AF										hargrave 2018-10-07 04:16:16	u			0.04	0.0175	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-2	pmagpy-4.2.25: demag_gui	NED18-2b			
								This study									lc	25.7	253.9	56.5	2.5	2.0	6.0	0.0	NED18-2b_LP-DIR-AF										hargrave 2018-10-07 04:16:16	u			0.005	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-2	pmagpy-4.2.25: demag_gui	NED18-2b			
								This study									mc	0.8	108.5	80.3	1.0	2.0	8.0	0.0	NED18-2b_LP-DIR-AF										hargrave 2018-10-07 04:16:16	u			0.04	0.0175	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-2	pmagpy-4.2.25: demag_gui	NED18-2b			
								This study																																			LP-NOMAG								NED18-2		NED18-2b			
								This study									mc	17.2	197.9	51.5	10.2	2.0	7.0	-1.0	NED18-3b_LP-DIR-AF										hargrave 2018-10-07 04:58:25	u			0.1	0.06	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-3	pmagpy-4.2.25: demag_gui	NED18-3b			
								This study									lc	6.2	293.0	63.7	1.7	2.0	4.0	-1.0	NED18-3b_LP-DIR-AF										hargrave 2018-10-07 04:58:25	u			0.015	0.0075	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-3	pmagpy-4.2.25: demag_gui	NED18-3b			
								This study									mc	17.2	168.8	75.7	10.2	2.0	7.0	0.0	NED18-3b_LP-DIR-AF										hargrave 2018-10-07 04:58:25	u			0.1	0.06	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-3	pmagpy-4.2.25: demag_gui	NED18-3b			
								This study									lc	6.2	262.5	45.3	1.7	2.0	4.0	0.0	NED18-3b_LP-DIR-AF										hargrave 2018-10-07 04:58:25	u			0.015	0.0075	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-3	pmagpy-4.2.25: demag_gui	NED18-3b			
								This study																																			LP-NOMAG								NED18-3		NED18-3b			
								This study									lc	9.2	320.4	81.2	0.6	2.0	4.0	-1.0	NED18-4b_LP-DIR-AF										hargrave 2018-10-07 05:40:47	u			0.0125	0.005	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-4	pmagpy-4.2.25: demag_gui	NED18-4b			
								This study									mc	5.9	196.2	51.1	1.0	2.0	7.0	-1.0	NED18-4b_LP-DIR-AF										hargrave 2018-10-07 05:40:47	u			0.06	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-4	pmagpy-4.2.25: demag_gui	NED18-4b			
								This study									mc	5.9	153.4	76.6	1.0	2.0	7.0	0.0	NED18-4b_LP-DIR-AF										hargrave 2018-10-07 05:40:47	u			0.06	0.03	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-4	pmagpy-4.2.25: demag_gui	NED18-4b			
								This study									lc	9.2	274.4	53.8	0.6	2.0	4.0	0.0	NED18-4b_LP-DIR-AF										hargrave 2018-10-07 05:40:47	u			0.0125	0.005	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-4	pmagpy-4.2.25: demag_gui	NED18-4b			
								This study																																			LP-NOMAG								NED18-4		NED18-4b			
								This study									lc	8.5	340.1	85.5	0.5	2.0	3.0	-1.0	NED18-5b_LP-DIR-AF										hargrave 2018-10-07 06:23:32	u			0.015	0.01	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-5	pmagpy-4.2.25: demag_gui	NED18-5b			
								This study									mc	1.0	180.9	54.8	1.5	2.0	6.0	-1.0	NED18-5b_LP-DIR-AF										hargrave 2018-10-07 06:23:32	u			0.06	0.035	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-5	pmagpy-4.2.25: demag_gui	NED18-5b			
								This study									mc	1.0	122.1	87.7	1.5	2.0	6.0	0.0	NED18-5b_LP-DIR-AF										hargrave 2018-10-07 06:23:32	u			0.06	0.035	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-5	pmagpy-4.2.25: demag_gui	NED18-5b			
								This study									lc	8.5	286.3	52.7	0.5	2.0	3.0	0.0	NED18-5b_LP-DIR-AF										hargrave 2018-10-07 06:23:32	u			0.015	0.01	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED18-5	pmagpy-4.2.25: demag_gui	NED18-5b			
								This study																																			LP-NOMAG								NED18-5		NED18-5b			
								This study									mc	2.7	180.1	52.4	1.4	2.0	9.0	-1.0	NED18-6b_LP-DIR-AF										hargrave 2018-10-07 07:08:11	u			0.08	0.04	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED18-6	pmagpy-4.2.25: demag_gui	NED18-6b			
